Date,Open,High,Low,Close,Adj Close,Volume
01-Jan-21,0.77718,0.82076,0.769823,0.770297,0.770297,0
04-Jan-21,0.7713,0.7742,0.76566,0.77123,0.77123,0
05-Jan-21,0.76698,0.7753,0.766289,0.7671,0.7671,0
06-Jan-21,0.77628,0.782038,0.773431,0.7766,0.7766,0
07-Jan-21,0.78154,0.78154,0.77277,0.7817,0.7817,0
08-Jan-21,0.7769,0.7799,0.77414,0.7769,0.7769,0
11-Jan-21,0.77238,0.773043,0.766889,0.771653,0.771653,0
12-Jan-21,0.77082,0.77406,0.76874,0.77075,0.77075,0
13-Jan-21,0.77748,0.778271,0.77231,0.777605,0.777605,0
14-Jan-21,0.77464,0.77931,0.77288,0.774713,0.774713,0
15-Jan-21,0.777563,0.77888,0.76825,0.77758,0.77758,0
18-Jan-21,0.768539,0.77028,0.76606,0.768888,0.768888,0
19-Jan-21,0.76856,0.7724,0.76856,0.768699,0.768699,0
20-Jan-21,0.771248,0.7763,0.7702,0.77118,0.77118,0
21-Jan-21,0.7755,0.7784,0.774899,0.77557,0.77557,0
22-Jan-21,0.776144,0.77688,0.77036,0.776102,0.776102,0
25-Jan-21,0.771551,0.7748,0.76839,0.77158,0.77158,0
26-Jan-21,0.7715,0.77543,0.767,0.7719,0.7719,0
27-Jan-21,0.77532,0.7761,0.76503,0.775314,0.775314,0
28-Jan-21,0.76517,0.76774,0.759301,0.7651,0.7651,0
29-Jan-21,0.767201,0.77037,0.7637,0.76697,0.76697,0
01-Feb-21,0.762062,0.766401,0.76135,0.761998,0.761998,0
02-Feb-21,0.76333,0.76619,0.75667,0.76346,0.76346,0
03-Feb-21,0.7609,0.7627,0.76024,0.760821,0.760821,0
04-Feb-21,0.763633,0.76475,0.759,0.7636,0.7636,0
05-Feb-21,0.760092,0.766,0.75844,0.7603,0.7603,0
08-Feb-21,0.76789,0.771516,0.765257,0.76792,0.76792,0
09-Feb-21,0.770558,0.773646,0.77047,0.7711,0.7711,0
10-Feb-21,0.7741,0.77545,0.771992,0.77405,0.77405,0
11-Feb-21,0.772469,0.7773,0.77132,0.772535,0.772535,0
12-Feb-21,0.7754,0.7765,0.77193,0.7754,0.7754,0
15-Feb-21,0.776392,0.7791,0.77605,0.77641,0.77641,0
16-Feb-21,0.77853,0.7807,0.774581,0.77862,0.77862,0
17-Feb-21,0.7737,0.77693,0.77252,0.77379,0.77379,0
18-Feb-21,0.7759,0.778901,0.77318,0.77587,0.77587,0
